Horodateur;Etes-vous :;Quel âge avez-vous ? (Juste mettre le nombre);De quelle province venez-vous ?;Habitez-vous :;Quel est votre code postal ?;En moyenne, combien de kilomètres effectuez-vous en voiture sur une année ?  [Avant la Covid-19];En moyenne, combien de kilomètres effectuez-vous en voiture sur une année ?  [Après la Covid-19];Depuis la Covid-19, vos déplacements en voiture;Quel est votre plus haut niveau d'étude ?;Vous êtes :;Travaillez-vous dans le secteur de l'énergie et/ou dans le domaine de l'environnement ?;Comment décririez-vous le revenu actuel de votre ménage ?;Avez-vous déjà rencontré un des problèmes suivants : [Inondation];Avez-vous déjà rencontré un des problèmes suivants : [Incendie];Avez-vous déjà rencontré un des problèmes suivants : [Pollution];Avant de participer à cette enquête, aviez-vous déjà entendu parler de l'utilisation de l'hydrogène dans le contexte de la production d'énergie ?;Evaluez votre connaissance à ce propos;Que pensez-vous de l'utilisation de l'hydrogène comme solution possible aux défis énergétiques et environnementaux ?;Avez-vous déjà pensé à acheter une voiture à hydrogène ? ;Comparées aux voitures à hydrogène, je pense que [Les voitures conventionnelles sont];Comparées aux voitures à hydrogène, je pense que [Les voitures hybrides sont];Comparées aux voitures à hydrogène, je pense que [Les voitures électriques sont];Comparées aux voitures à hydrogène, je pense que [Les voitures au gaz naturel comprimé (GNC) ou au gaz naturel liquéfié (GNL) sont]; [Etre mieux informé.e sur ce sujet]; [Pouvoir contribuer à l'élaboration des lois associées]; [Prix d'achat de la voiture à hydrogène]; [Prix de l'hydrogène]; [Prix des autres carburants]; [Sécurité de l'hydrogène]; [La présence de stations à hydrogène]; [Autonomie]; [Diminution des importations de combustibles]; [Réduction des émissions de gaz à effet de serre à l'origine du changement climatique]; [Réduction de la pollution atmosphérique locale dans les zones urbaines]; [Création d'opportunités pour les industries belges afin d'accroître leur capacité à fournir des technologies innovantes];"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [tout est égal (prix, confort, maintenance,..) aux autres sortes de voiture]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [des subsides sont fournis à l'achat]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [les voitures à diesel sont bannies des villes]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [les voitures à essence sont bannies des villes]";Si une limitation de kilomètres par an pouvant être réalisés par des voitures polluantes (diesel/essence) existait, à quelle limitation passeriez-vous à une voiture plus propre ? 
1/3/2022 18:15:15;Femme;24;Région de Bruxelles-Capitale;En périphérie;1150;Moins de 10 000;Moins de 10 000;Ont diminué;Master;Chômeur;Oui;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;3;3;Non;Une moins bonne solution;Une meilleure solution;Une meilleure solution;Une moins bonne solution;Très important;Peu important;Fort important;Fort important;Peu important;Très important;Fort important;Fort important;Moyennement important;Très important;Très important;Pas du tout important;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;10 000 km
1/3/2022 18:15:43;Femme;20;Liège;A la campagne;4540;Entre 15 000 et 20 000;Entre 10 000 et 15 000;sont restés stables;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;5;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Peu important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;10 000 km
1/3/2022 18:17:53;Femme;21;Liège;A la campagne;4366;Entre 10 000 et 15 000;Entre 10 000 et 15 000;Ont diminué;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Oui;Non;Non;Oui;2;3;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Très important;Moyennement important;Très important;Très important;Très important;Très important;Fort important;Fort important;Très important;Très important;Très important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;2 500 km
1/3/2022 18:18:32;Homme;63;Région de Bruxelles-Capitale;En périphérie;1950;Plus de 20 000;Entre 15 000 et 20 000;Ont diminué;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;5;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Peu important;Fort important;Moyennement important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/3/2022 18:20:09;Homme;24;Liège;En centre ville;4000;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Master;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;4;3;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Fort important;Moyennement important;Fort important;Très important;Fort important;Très important;Très important;Fort important;Fort important;Très important;Très important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/3/2022 18:20:14;Homme;19;Namur;A la campagne;5660;Moins de 10 000;Moins de 10 000;Ont diminué;Secondaire;Etudiant;Non;Je me débrouille avec mon revenu actuel;Oui;Non;Oui;Oui;3;5;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une solution égale;Très important;Fort important;Très important;Très important;Très important;Fort important;Fort important;Moyennement important;Fort important;Très important;Fort important;Fort important;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/3/2022 18:20:16;Homme;28;Liège;En périphérie;4041;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Master;Employé;Oui;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;4;Non;Une moins bonne solution;Une solution égale;Une moins bonne solution;Une meilleure solution;Fort important;Fort important;Très important;Très important;Très important;Très important;Fort important;Moyennement important;Fort important;Peu important;Peu important;Fort important;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/3/2022 18:20:33;Homme;26;Liège;A la campagne;4537;Entre 15 000 et 20 000;Entre 15 000 et 20 000;sont restés stables;Master;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;4;Non;Une moins bonne solution;Une meilleure solution;Une solution égale;Une solution égale;Très important;Fort important;Très important;Très important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;10 000 km
1/3/2022 18:20:58;Homme;24;Liège;En centre ville;4200;Moins de 10 000;Moins de 10 000;Ont diminué;Master;Employé;Oui;Je me débrouille avec mon revenu actuel;Non;Non;Oui;Oui;4;3;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une solution égale;Fort important;Fort important;Fort important;Fort important;Moyennement important;Moyennement important;Moyennement important;Fort important;Fort important;Très important;Fort important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;2 500 km
1/3/2022 18:21:33;Femme;24;Brabant Wallon;En centre ville;1348;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Bachelier;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Oui;Non;1;3;Non;Une solution égale;Une meilleure solution;Une meilleure solution;Une solution égale;Très important;Moyennement important;Fort important;Fort important;Fort important;Très important;Moyennement important;Moyennement important;Peu important;Moyennement important;Moyennement important;Pas du tout important;Un peu intéressé.e;Un peu intéressé.e;Peu intéressé.e;Fortement intéressé.e;20 000 km
1/3/2022 18:24:32;Homme;21;Namur;A la campagne;5080;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;2;4;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Fort important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Moyennement important;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;5 000 km
1/3/2022 18:27:28;Homme;53;Liège;En périphérie;4610;Moins de 10 000;Moins de 10 000;Ont diminué;Master;Employé;Non;Je me débrouille avec mon revenu actuel;Oui;Non;Non;Oui;3;4;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une solution égale;Très important;Moyennement important;Très important;Très important;Fort important;Fort important;Très important;Très important;Moyennement important;Fort important;Fort important;Fort important;Moyennement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;10 000 km
1/3/2022 18:29:53;Femme;23;Liège;A la campagne;4550;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Oui;Non;Non;Oui;4;4;Non;Une moins bonne solution;Une solution égale;Une moins bonne solution;Une moins bonne solution;Fort important;Fort important;Moyennement important;Moyennement important;Moyennement important;Fort important;Très important;Très important;Fort important;Très important;Très important;Fort important;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;5 000 km
1/3/2022 18:31:06;Femme;21;Région de Bruxelles-Capitale;En centre ville;1030;Entre 15 000 et 20 000;Moins de 10 000;Ont diminué;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Oui;Oui;2;4;Non;Une meilleure solution;Une meilleure solution;Une meilleure solution;Une meilleure solution;Très important;Peu important;Très important;Très important;Très important;Très important;Très important;Très important;Fort important;Très important;Très important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/3/2022 18:32:19;Homme;22;Région de Bruxelles-Capitale;En périphérie;1150;Moins de 10 000;Moins de 10 000;Ont diminué;Bachelier;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;3;4;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Très important;Moyennement important;Fort important;Fort important;Fort important;Très important;Très important;Moyennement important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/3/2022 18:34:20;Homme;24;Liège;A la campagne;4470;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Master;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Oui;Oui;2;4;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Fort important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fort important;Un peu intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Fortement intéressé.e;10 000 km
1/3/2022 18:39:25;Homme;26;Liège;En périphérie;4000;Entre 15 000 et 20 000;Entre 15 000 et 20 000;sont restés stables;Master;Employé;Oui;Je vis confortablement avec mon revenu actuel;Non;Non;Oui;Oui;3;5;Non;Une moins bonne solution;Une solution égale;Une meilleure solution;Une solution égale;Très important;Peu important;Fort important;Très important;Très important;Fort important;Très important;Très important;Moyennement important;Fort important;Fort important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;10 000 km
1/3/2022 18:47:49;Homme;73;Liège;A la campagne;4550;Moins de 10 000;Moins de 10 000;sont restés stables;Master;Retraité;Non;Je vis confortablement avec mon revenu actuel;Non;Oui;Non;Oui;4;5;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une moins bonne solution;Une solution égale;Une moins bonne solution;Une meilleure solution;Fort important;Fort important;Très important;Très important;Fort important;Très important;Très important;Très important;Très important;Fort important;Fort important;Très important;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;10 000 km
1/3/2022 18:48:06;Femme;21;Liège;A la campagne;4190;Moins de 10 000;Moins de 10 000;Ont augmenté;Bachelier;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Oui;Non;1;3;Non;Une solution égale;Une solution égale;Une solution égale;Une solution égale;Très important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/3/2022 18:56:13;Homme;26;Luxembourg;En centre ville;6700;Plus de 20 000;Plus de 20 000;sont restés stables;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;2;3;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une moins bonne solution;Fort important;Moyennement important;Très important;Fort important;Fort important;Fort important;Fort important;Fort important;Moyennement important;Fort important;Moyennement important;Moyennement important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/3/2022 18:56:56;Femme;25;Liège;En périphérie;4520;Entre 15 000 et 20 000;Entre 10 000 et 15 000;Ont diminué;Master;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;3;Non;Une moins bonne solution;Une solution égale;Une meilleure solution;Une moins bonne solution;Fort important;Peu important;Fort important;Très important;Très important;Fort important;Fort important;Fort important;Moyennement important;Moyennement important;Moyennement important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/3/2022 19:05:45;Homme;58;Hainaut;En centre ville;7800;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Master;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;5;5;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une moins bonne solution;Peu important;Peu important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;5 000 km
1/3/2022 19:07:02;Homme;52;Liège;En périphérie;4500;Plus de 20 000;Plus de 20 000;sont restés stables;Secondaire;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;4;Non;Une solution égale;Une moins bonne solution;Une moins bonne solution;Une solution égale;Moyennement important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;20 000 km
1/3/2022 19:07:04;Homme;23;Namur;En périphérie;5000;Plus de 20 000;Entre 15 000 et 20 000;sont restés stables;Master;Employé;Oui;Je vis confortablement avec mon revenu actuel;Non;Non;Oui;Oui;5;5;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Pas du tout important;Pas du tout important;Très important;Très important;Moyennement important;Pas du tout important;Très important;Pas du tout important;Très important;Très important;Moyennement important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/3/2022 19:07:11;Homme;36;Liège;A la campagne;4530;Entre 15 000 et 20 000;Entre 15 000 et 20 000;sont restés stables;Secondaire;Employé;Non;Je me débrouille avec mon revenu actuel;Oui;Non;Non;Oui;2;5;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Fort important;Moyennement important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/3/2022 19:20:54;Homme;23;Liège;En centre ville;4020;Plus de 20 000;Plus de 20 000;Ont diminué;Bachelier;Etudiant;Oui;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;4;2;Non;Une meilleure solution;Une solution égale;Une solution égale;Une moins bonne solution;Fort important;Moyennement important;Fort important;Fort important;Fort important;Très important;Très important;Très important;Moyennement important;Fort important;Fort important;Moyennement important;Pas du tout intéressé.e;Moyennement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/3/2022 19:27:42;Femme;21;Liège;En périphérie;4600;Moins de 10 000;Moins de 10 000;sont restés stables;Secondaire;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Non;1;3;Non;Une solution égale;Une meilleure solution;Une solution égale;Une moins bonne solution;Fort important;Pas du tout important;Très important;Très important;Très important;Très important;Très important;Très important;Peu important;Moyennement important;Moyennement important;Pas du tout important;Un peu intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/3/2022 19:35:35;Femme;22;Liège;En périphérie;4600;Entre 15 000 et 20 000;Entre 10 000 et 15 000;Ont diminué;Master;Etudiant;Oui;Je me débrouille avec mon revenu actuel;Oui;Non;Non;Oui;5;3;Non;Une solution égale;Une meilleure solution;Une solution égale;Une moins bonne solution;Fort important;Peu important;Très important;Très important;Très important;Très important;Très important;Fort important;Moyennement important;Moyennement important;Moyennement important;Moyennement important;Un peu intéressé.e;Fortement intéressé.e;Peu intéressé.e;Peu intéressé.e;20 000 km
1/3/2022 19:37:11;Femme;24;Région de Bruxelles-Capitale;En centre ville;1180;Moins de 10 000;Moins de 10 000;sont restés stables;Bachelier;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;2;2;Non;Une meilleure solution;Une solution égale;Une solution égale;Une meilleure solution;Moyennement important;Moyennement important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;5 000 km
1/3/2022 19:42:49;Homme;18;Luxembourg;A la campagne;6782;Moins de 10 000;Moins de 10 000;Ont augmenté;Secondaire;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;4;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Très important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/3/2022 19:48:43;Femme;20;Liège;A la campagne;4120;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Secondaire;Etudiant;Non;Je vis très confortablement avec mon revenu actuel;Oui;Non;Non;Oui;1;3;Non;Une meilleure solution;Une solution égale;Une solution égale;Une meilleure solution;Très important;Très important;Très important;Très important;Pas du tout important;Très important;Très important;Très important;Très important;Très important;Très important;Fort important;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;10 000 km
1/3/2022 19:49:28;Homme;24;Liège;En centre ville;4000;Moins de 10 000;Moins de 10 000;sont restés stables;Master;Employé;Non;Je vis très confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;5;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Fort important;Moyennement important;Moyennement important;Fort important;Fort important;Très important;Fort important;Très important;Très important;Très important;Moyennement important;Fortement intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;5 000 km
