sex,age,Province,livingPlace,zipCode,kmYear_beforeCovid,kmYear_afterCovid,BeforeAfterCovid,studyYear,Profession,environment_Know,revenu,had_Inondation,had_Fire,had_Pollution,H2_Know,know_Evaluation,h2_VS_envi,carH2_idea,conventional_car,hybrides_car,electric_car,gaz_car,subject_know,law_elaboration,h2_purchasePrice,h2_price,otherfuel_price,h2_security,h2_station,h2_automony,dimImportation,gazReduction,atmos_reduction_urban,Belgium_company,everything_equal,subside,diesel_no_in_town,essence_no_in_town,km_limitation
Femme,24,Région de Bruxelles-Capitale,En périphérie,1150,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Chômeur,Oui,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une moins bonne solution,Une meilleure solution,Une meilleure solution,Une moins bonne solution,Très important,Peu important,Fort important,Fort important,Peu important,Très important,Fort important,Fort important,Moyennement important,Très important,Très important,Pas du tout important,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Femme,20,Liège,A la campagne,4540,Entre 15 000 et 20 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Femme,21,Liège,A la campagne,4366,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Non,Oui,2,3,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Très important,Moyennement important,Très important,Très important,Très important,Très important,Fort important,Fort important,Très important,Très important,Très important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,2 500 km
Homme,63,Région de Bruxelles-Capitale,En périphérie,1950,Plus de 20 000,Entre 15 000 et 20 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Peu important,Fort important,Moyennement important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,24,Liège,En centre ville,4000,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Moyennement important,Fort important,Très important,Fort important,Très important,Très important,Fort important,Fort important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,19,Namur,A la campagne,5660,Moins de 10 000,Moins de 10 000,Ont diminué,Secondaire,Etudiant,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Oui,Oui,3,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une solution égale,Très important,Fort important,Très important,Très important,Très important,Fort important,Fort important,Moyennement important,Fort important,Très important,Fort important,Fort important,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,28,Liège,En périphérie,4041,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une meilleure solution,Fort important,Fort important,Très important,Très important,Très important,Très important,Fort important,Moyennement important,Fort important,Peu important,Peu important,Fort important,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,26,Liège,A la campagne,4537,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,4,Non,Une moins bonne solution,Une meilleure solution,Une solution égale,Une solution égale,Très important,Fort important,Très important,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,24,Liège,En centre ville,4200,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Employé,Oui,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Oui,4,3,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une solution égale,Une solution égale,Fort important,Fort important,Fort important,Fort important,Moyennement important,Moyennement important,Moyennement important,Fort important,Fort important,Très important,Fort important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,2 500 km
Femme,24,Brabant Wallon,En centre ville,1348,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Non,1,3,Non,Une solution égale,Une meilleure solution,Une meilleure solution,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Fort important,Très important,Moyennement important,Moyennement important,Peu important,Moyennement important,Moyennement important,Pas du tout important,Un peu intéressé.e,Un peu intéressé.e,Peu intéressé.e,Fortement intéressé.e,20 000 km
Homme,21,Namur,A la campagne,5080,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,2,4,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Moyennement important,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Homme,53,Liège,En périphérie,4610,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une solution égale,Très important,Moyennement important,Très important,Très important,Fort important,Fort important,Très important,Très important,Moyennement important,Fort important,Fort important,Fort important,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Femme,23,Liège,A la campagne,4550,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Non,Oui,4,4,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une moins bonne solution,Fort important,Fort important,Moyennement important,Moyennement important,Moyennement important,Fort important,Très important,Très important,Fort important,Très important,Très important,Fort important,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,5 000 km
Femme,21,Région de Bruxelles-Capitale,En centre ville,1030,Entre 15 000 et 20 000,Moins de 10 000,Ont diminué,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,2,4,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une meilleure solution,Très important,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Fort important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,22,Région de Bruxelles-Capitale,En périphérie,1150,Moins de 10 000,Moins de 10 000,Ont diminué,Bachelier,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Très important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Moyennement important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,24,Liège,A la campagne,4470,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Oui,2,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fort important,Un peu intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,10 000 km
Homme,26,Liège,En périphérie,4000,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,3,5,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une solution égale,Très important,Peu important,Fort important,Très important,Très important,Fort important,Très important,Très important,Moyennement important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,73,Liège,A la campagne,4550,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Retraité,Non,Je vis confortablement avec mon revenu actuel,Non,Oui,Non,Oui,4,5,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une moins bonne solution,Une solution égale,Une moins bonne solution,Une meilleure solution,Fort important,Fort important,Très important,Très important,Fort important,Très important,Très important,Très important,Très important,Fort important,Fort important,Très important,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Femme,21,Liège,A la campagne,4190,Moins de 10 000,Moins de 10 000,Ont augmenté,Bachelier,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Non,1,3,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,26,Luxembourg,En centre ville,6700,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,2,3,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une moins bonne solution,Fort important,Moyennement important,Très important,Fort important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Moyennement important,Moyennement important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,25,Liège,En périphérie,4520,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une moins bonne solution,Fort important,Peu important,Fort important,Très important,Très important,Fort important,Fort important,Fort important,Moyennement important,Moyennement important,Moyennement important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,58,Hainaut,En centre ville,7800,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,5,5,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une moins bonne solution,Peu important,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,5 000 km
Homme,52,Liège,En périphérie,4500,Plus de 20 000,Plus de 20 000,sont restés stables,Secondaire,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,4,Non,Une solution égale,Une moins bonne solution,Une moins bonne solution,Une solution égale,Moyennement important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,20 000 km
Homme,23,Namur,En périphérie,5000,Plus de 20 000,Entre 15 000 et 20 000,sont restés stables,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,5,5,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Pas du tout important,Pas du tout important,Très important,Très important,Moyennement important,Pas du tout important,Très important,Pas du tout important,Très important,Très important,Moyennement important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,36,Liège,A la campagne,4530,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Secondaire,Employé,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Non,Oui,2,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Fort important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,23,Liège,En centre ville,4020,Plus de 20 000,Plus de 20 000,Ont diminué,Bachelier,Etudiant,Oui,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,4,2,Non,Une meilleure solution,Une solution égale,Une solution égale,Une moins bonne solution,Fort important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Moyennement important,Fort important,Fort important,Moyennement important,Pas du tout intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,21,Liège,En périphérie,4600,Moins de 10 000,Moins de 10 000,sont restés stables,Secondaire,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une solution égale,Une meilleure solution,Une solution égale,Une moins bonne solution,Fort important,Pas du tout important,Très important,Très important,Très important,Très important,Très important,Très important,Peu important,Moyennement important,Moyennement important,Pas du tout important,Un peu intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Femme,22,Liège,En périphérie,4600,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Etudiant,Oui,Je me débrouille avec mon revenu actuel,Oui,Non,Non,Oui,5,3,Non,Une solution égale,Une meilleure solution,Une solution égale,Une moins bonne solution,Fort important,Peu important,Très important,Très important,Très important,Très important,Très important,Fort important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Un peu intéressé.e,Fortement intéressé.e,Peu intéressé.e,Peu intéressé.e,20 000 km
Femme,24,Région de Bruxelles-Capitale,En centre ville,1180,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,2,2,Non,Une meilleure solution,Une solution égale,Une solution égale,Une meilleure solution,Moyennement important,Moyennement important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,5 000 km
Homme,18,Luxembourg,A la campagne,6782,Moins de 10 000,Moins de 10 000,Ont augmenté,Secondaire,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Femme,20,Liège,A la campagne,4120,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Secondaire,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Oui,Non,Non,Oui,1,3,Non,Une meilleure solution,Une solution égale,Une solution égale,Une meilleure solution,Très important,Très important,Très important,Très important,Pas du tout important,Très important,Très important,Très important,Très important,Très important,Très important,Fort important,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,10 000 km
Homme,24,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Employé,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Fort important,Moyennement important,Moyennement important,Fort important,Fort important,Très important,Fort important,Très important,Très important,Très important,Moyennement important,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Homme,19,Namur,A la campagne,5640,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Non,1,3,Non,Une moins bonne solution,Une meilleure solution,Une solution égale,Une solution égale,Fort important,Moyennement important,Fort important,Fort important,Fort important,Moyennement important,Moyennement important,Moyennement important,Fort important,Fort important,Fort important,Moyennement important,Un peu intéressé.e,Moyennement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,23,Hainaut,A la campagne,7030,Plus de 20 000,Plus de 20 000,Ont augmenté,Bachelier,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,5,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une solution égale,Une moins bonne solution,Une solution égale,Très important,Très important,Très important,Très important,Fort important,Très important,Fort important,Très important,Moyennement important,Moyennement important,Moyennement important,Très important,Fortement intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,20 000 km
Homme,25,Région de Bruxelles-Capitale,En périphérie,1950,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Chômeur,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,4,4,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une meilleure solution,Fort important,Peu important,Moyennement important,Moyennement important,Moyennement important,Très important,Fort important,Fort important,Peu important,Très important,Très important,Peu important,Peu intéressé.e,Moyennement intéressé.e,Peu intéressé.e,Peu intéressé.e,20 000 km
Homme,23,Liège,A la campagne,4120,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Fort important,Peu important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Peu important,Un peu intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,10 000 km
Femme,23,Liège,A la campagne,4122,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Bachelier,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Peu important,Moyennement important,Fort important,Moyennement important,Moyennement important,Fort important,Fort important,Fort important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,5 000 km
Homme,23,Liège,A la campagne,4121,Moins de 10 000,Entre 10 000 et 15 000,Ont augmenté,Master,Etudiant,Oui,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,4,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une solution égale,Une solution égale,Une moins bonne solution,Une solution égale,Très important,Peu important,Fort important,Fort important,Moyennement important,Très important,Très important,Très important,Fort important,Moyennement important,Fort important,Très important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,20 000 km
Femme,24,Liège,En périphérie,4400,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Très important,Moyennement important,Très important,Très important,Très important,Très important,Fort important,Fort important,Moyennement important,Très important,Très important,Moyennement important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,37,Liège,En périphérie,4540,Plus de 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une solution égale,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Fort important,Moyennement important,Fort important,Fort important,Fort important,Très important,Fort important,Fort important,Moyennement important,Moyennement important,Moyennement important,Fort important,Un peu intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,19,Namur,A la campagne,5621,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Oui,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une solution égale,Très important,Moyennement important,Fort important,Moyennement important,Moyennement important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Femme,21,Liège,A la campagne,4130,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,4,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une moins bonne solution,Très important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Fort important,Très important,Très important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Femme,25,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,Ont augmenté,Master,Etudiant,Oui,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Moyennement important,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
